product_id,author_id,rating,review_text,review_title,skin_type,skin_tone,is_recommended,feedback_count
P001,user_1466,4,My skin looks so plump and healthy! The fine lines around my eyes are fading.,Really good product,combination,light,1.0,43
P001,user_6870,5,"Wonderful product, my holy grail moisturizer. Gives a beautiful dewy finish.",Amazing!,dry,deep,1.0,18
P001,user_2470,5,My skin looks so plump and healthy! The fine lines around my eyes are fading. It's become a staple in my daily skincare routine.,Amazing!,normal,fair,1.0,19
P001,user_3740,5,The ingredients are amazing and it didn't irritate my sensitive skin.,Amazing!,normal,light,1.0,12
P001,user_9454,4,"Great product, worth every penny. My skin barrier has never felt stronger. It's become a staple in my daily skincare routine.",Really good product,combination,light,1.0,11
P001,user_1348,5,Absolutely love this! It makes my skin feel incredibly hydrated and soft. It's become a staple in my daily skincare routine.,Amazing!,combination,light,1.0,29
P001,user_1622,5,It cleared my acne and reduced the redness significantly. Will buy again. It's become a staple in my daily skincare routine.,Amazing!,combination,tan,1.0,20
P001,user_2046,5,"Great product, worth every penny. My skin barrier has never felt stronger.",Amazing!,oily,medium,1.0,3
P001,user_8367,5,Absorbs so quickly without leaving any greasy residue. Perfect for makeup base. It's become a staple in my daily skincare routine.,Amazing!,oily,fair,1.0,9
P001,user_6293,5,Absolutely love this! It makes my skin feel incredibly hydrated and soft.,Amazing!,combination,medium,1.0,24
P001,user_2624,3,It's average. Didn't cause breakouts but didn't see massive results either. Average hydration.,It's okay,dry,tan,0.5,39
P001,user_9770,5,My skin looks so plump and healthy! The fine lines around my eyes are fading.,Amazing!,dry,deep,1.0,26
P001,user_2922,5,It cleared my acne and reduced the redness significantly. Will buy again. It's become a staple in my daily skincare routine.,Amazing!,oily,medium,1.0,0
P001,user_2748,4,"Great product, worth every penny. My skin barrier has never felt stronger.",Really good product,combination,fair,1.0,15
P001,user_3441,4,My skin looks so plump and healthy! The fine lines around my eyes are fading. It's become a staple in my daily skincare routine.,Really good product,combination,tan,1.0,28
